Station	Date	MaxT	MinT	RH1	RH2	Wind	Rain	SSH	Evap	Radiation	FAO56ET	Lat	Lon	CumRain
"ICRISAT"	28491.0	28.5	14.2	68.0	31.0	5.7	0.0	10.1	4.3	18.4	3.9	17.5084095	78.2723004	0.0
"ICRISAT"	28492.0	28.8	16.0	79.0	33.0	6.4	0.0	9.8	4.8	16.9	3.9	17.5084095	78.2723004	0.0
"ICRISAT"	28493.0	29.0	14.5	86.0	37.0	5.4	0.0	9.1	4.6	15.3	3.4	17.5084095	78.2723004	0.0
"ICRISAT"	28494.0	29.0	18.0	89.0	43.0	7.1	0.0	9.0	4.2	16.4	3.8	17.5084095	78.2723004	0.0
"ICRISAT"	28495.0	27.8	17.0	81.0	47.0	10.5	0.0	8.9	4.3	15.9	4.1	17.5084095	78.2723004	0.0
"ICRISAT"	28496.0	27.2	19.4	86.0	49.0	13.5	0.0	9.5	5.1	13.8	4.0	17.5084095	78.2723004	0.0
"ICRISAT"	28497.0	26.5	19.5	85.0	46.0	11.4	0.0	5.4	4.7	13.0	3.8	17.5084095	78.2723004	0.0
"ICRISAT"	28498.0	27.2	18.5	92.0	51.0	11.7	16.5	5.0	4.2	14.2	3.7	17.5084095	78.2723004	16.5
"ICRISAT"	28499.0	26.8	18.5	90.0	47.0	12.0	0.0	7.7	3.6	13.4	3.8	17.5084095	78.2723004	16.5
"ICRISAT"	28500.0	28.2	19.5	91.0	71.0	11.9	0.7	5.4	3.4	11.8	3.0	17.5084095	78.2723004	17.2
"ICRISAT"	28501.0	23.5	14.6	95.0	55.0	5.9	0.0	4.2	2.6	13.1	2.6	17.5084095	78.2723004	17.2
"ICRISAT"	28502.0	23.7	13.3	89.0	31.0	9.6	0.0	5.5	3.1	20.6	4.1	17.5084095	78.2723004	17.2
"ICRISAT"	28503.0	25.4	10.4	92.0	24.0	5.6	0.0	10.5	4.2	19.2	3.6	17.5084095	78.2723004	17.2
"ICRISAT"	28504.0	26.3	10.5	86.0	21.0	5.6	0.0	10.3	3.8	16.2	3.6	17.5084095	78.2723004	17.2
"ICRISAT"	28505.0	27.8	12.0	94.0	28.0	6.4	0.0	10.3	4.2	9.8	3.2	17.5084095	78.2723004	17.2
"ICRISAT"	28506.0	28.0	13.2	93.0	26.0	9.1	0.0	10.1	4.9	17.9	4.5	17.5084095	78.2723004	17.2
"ICRISAT"	28507.0	27.9	12.6	86.0	20.0	8.4	0.0	10.2	4.1	19.5	4.6	17.5084095	78.2723004	17.2
"ICRISAT"	28508.0	29.1	14.0	79.0	26.0	5.6	0.0	10.1	4.2	19.3	4.1	17.5084095	78.2723004	17.2
"ICRISAT"	28509.0	29.4	13.5	73.0	25.0	6.1	0.0	9.8	4.9	19.8	4.3	17.5084095	78.2723004	17.2
"ICRISAT"	28510.0	29.6	15.3	65.0	25.0	9.0	0.0	10.1	6.1	20.0	5.1	17.5084095	78.2723004	17.2
"ICRISAT"	28511.0	29.8	15.6	68.0	27.0	13.1	0.0	10.3	7.5	20.0	5.9	17.5084095	78.2723004	17.2
"ICRISAT"	28512.0	29.3	13.5	72.0	38.0	8.0	0.0	10.5	5.8	18.3	4.4	17.5084095	78.2723004	17.2
"ICRISAT"	28513.0	27.7	15.1	78.0	29.0	7.0	0.0	10.1	4.5	19.7	4.3	17.5084095	78.2723004	17.2
"ICRISAT"	28514.0	28.9	18.2	89.0	39.0	10.7	0.0	10.3	5.2	17.9	4.6	17.5084095	78.2723004	17.2
"ICRISAT"	28515.0	27.8	17.1	98.0	43.0	11.8	0.0	9.7	5.5	18.5	4.4	17.5084095	78.2723004	17.2
"ICRISAT"	28516.0	28.0	18.6	79.0	47.0	11.0	0.0	9.1	5.0	14.2	4.1	17.5084095	78.2723004	17.2
"ICRISAT"	28517.0	27.6	16.2	93.0	35.0	9.1	0.0	7.4	4.5	19.1	4.4	17.5084095	78.2723004	17.2
"ICRISAT"	28518.0	29.2	18.5	92.0	31.0	8.9	0.0	9.7	5.1	16.7	4.4	17.5084095	78.2723004	17.2
"ICRISAT"	28519.0	29.8	16.7	85.0	46.0	10.0	0.0	10.0	6.2	19.0	4.6	17.5084095	78.2723004	17.2
"ICRISAT"	28520.0	29.8	18.5	69.0	41.0	12.2	0.0	9.9	6.9	17.6	5.2	17.5084095	78.2723004	17.2
"ICRISAT"	28521.0	29.9	18.5	64.0	23.0	10.3	0.0	6.3	7.1	20.5	5.7	17.5084095	78.2723004	17.2
"ICRISAT"	28522.0	30.4	17.5	78.0	27.0	10.3	0.0	10.4	6.8	21.3	5.5	17.5084095	78.2723004	17.2
"ICRISAT"	28523.0	29.4	18.3	83.0	46.0	13.0	0.0	10.7	6.6	17.0	4.8	17.5084095	78.2723004	17.2
"ICRISAT"	28524.0	28.2	17.1	89.0	43.0	14.2	2.8	8.9	5.5	11.2	4.2	17.5084095	78.2723004	20.0
"ICRISAT"	28525.0	26.8	18.4	88.0	38.0	7.6	0.0	2.5	2.8	20.6	4.3	17.5084095	78.2723004	20.0
"ICRISAT"	28526.0	27.6	17.4	94.0	33.0	12.8	0.0	10.2	6.1	20.2	5.1	17.5084095	78.2723004	20.0
"ICRISAT"	28527.0	28.5	19.8	79.0	45.0	16.1	0.0	9.7	6.6	11.4	4.7	17.5084095	78.2723004	20.0
"ICRISAT"	28528.0	26.5	18.9	90.0	57.0	11.1	1.6	2.8	3.0	11.1	3.2	17.5084095	78.2723004	21.6
"ICRISAT"	28529.0	26.5	18.8	94.0	52.0	6.6	1.0	5.7	2.0	13.9	3.2	17.5084095	78.2723004	22.6
"ICRISAT"	28530.0	28.7	18.9	90.0	53.0	10.6	1.6	7.0	3.2	17.5	4.2	17.5084095	78.2723004	24.200000000000003
"ICRISAT"	28531.0	28.0	18.9	90.0	48.0	12.4	6.0	8.0	4.6	17.7	4.5	17.5084095	78.2723004	30.200000000000003
"ICRISAT"	28532.0	27.9	17.8	90.0	33.0	15.3	0.0	7.2	5.0	22.4	5.7	17.5084095	78.2723004	30.200000000000003
"ICRISAT"	28533.0	30.7	18.1	93.0	27.0	15.1	0.0	10.5	7.2	20.3	6.2	17.5084095	78.2723004	30.200000000000003
"ICRISAT"	28534.0	31.8	17.1	74.0	27.0	10.7	0.0	10.1	7.2	21.6	6.0	17.5084095	78.2723004	30.200000000000003
"ICRISAT"	28535.0	31.6	18.4	59.0	16.0	6.6	0.0	10.7	8.0	22.5	5.4	17.5084095	78.2723004	30.200000000000003
"ICRISAT"	28536.0	32.8	15.9	49.0	15.0	10.8	0.0	10.7	8.7	23.8	7.0	17.5084095	78.2723004	30.200000000000003
"ICRISAT"	28537.0	31.7	17.0	74.0	17.0	13.1	0.0	10.8	8.8	22.6	6.9	17.5084095	78.2723004	30.200000000000003
"ICRISAT"	28538.0	33.0	17.4	73.0	23.0	11.9	0.0	10.8	8.9	20.9	6.5	17.5084095	78.2723004	30.200000000000003
"ICRISAT"	28539.0	32.5	17.7	91.0	41.0	7.6	0.0	10.2	6.4	14.2	4.2	17.5084095	78.2723004	30.200000000000003
"ICRISAT"	28540.0	29.9	17.6	87.0	50.0	5.5	0.0	7.4	4.3	17.8	3.9	17.5084095	78.2723004	30.200000000000003
"ICRISAT"	28541.0	30.4	19.6	93.0	54.0	10.1	10.3	8.8	4.2	13.3	3.8	17.5084095	78.2723004	40.5
"ICRISAT"	28542.0	28.2	18.6	91.0	46.0	8.4	2.6	6.7	3.4	17.8	4.2	17.5084095	78.2723004	43.1
"ICRISAT"	28543.0	29.1	20.1	91.0	44.0	9.9	0.0	8.0	5.3	18.8	4.7	17.5084095	78.2723004	43.1
"ICRISAT"	28544.0	29.2	20.6	83.0	57.0	15.4	0.0	8.1	7.1	9.1	3.8	17.5084095	78.2723004	43.1
"ICRISAT"	28545.0	27.1	20.0	86.0	51.0	12.5	0.0	2.7	4.9	20.6	4.8	17.5084095	78.2723004	43.1
"ICRISAT"	28546.0	29.3	17.1	85.0	26.0	9.4	0.0	10.0	5.8	24.4	5.7	17.5084095	78.2723004	43.1
"ICRISAT"	28547.0	30.3	15.8	75.0	20.0	9.1	0.0	11.1	8.8	24.6	6.0	17.5084095	78.2723004	43.1
"ICRISAT"	28548.0	31.4	16.3	73.0	24.0	8.3	0.0	11.0	10.6	24.7	5.9	17.5084095	78.2723004	43.1
"ICRISAT"	28549.0	31.2	16.8	68.0	22.0	6.3	0.0	10.6	8.1	17.1	4.7	17.5084095	78.2723004	43.1
"ICRISAT"	28550.0	31.8	16.0	70.0	24.0	7.8	0.0	10.9	9.1	14.1	4.8	17.5084095	78.2723004	43.1
"ICRISAT"	28551.0	32.4	19.2	66.0	21.0	8.6	0.0	9.2	8.6	14.0	5.2	17.5084095	78.2723004	43.1
"ICRISAT"	28552.0	33.7	22.6	55.0	19.0	9.1	0.0	9.5	8.3	17.2	6.1	17.5084095	78.2723004	43.1
"ICRISAT"	28553.0	33.6	19.8	50.0	13.0	4.7	0.0	8.4	9.6	17.2	4.7	17.5084095	78.2723004	43.1
"ICRISAT"	28554.0	34.8	19.1	33.0	13.0	12.0	0.0	10.2	12.4	23.4	8.1	17.5084095	78.2723004	43.1
"ICRISAT"	28555.0	34.8	18.7	49.0	17.0	14.2	0.0	10.7	12.7	23.4	8.4	17.5084095	78.2723004	43.1
"ICRISAT"	28556.0	34.1	18.6	48.0	15.0	10.6	0.0	10.3	10.8	23.5	7.3	17.5084095	78.2723004	43.1
"ICRISAT"	28557.0	33.5	19.0	90.0	40.0	14.9	0.0	10.2	11.7	22.9	6.6	17.5084095	78.2723004	43.1
"ICRISAT"	28558.0	31.8	19.8	46.0	14.0	11.9	0.0	9.7	10.9	23.1	7.4	17.5084095	78.2723004	43.1
"ICRISAT"	28559.0	34.5	16.9	74.0	17.0	13.9	0.0	10.4	12.2	23.9	7.9	17.5084095	78.2723004	43.1
"ICRISAT"	28560.0	34.4	19.1	72.0	29.0	10.4	0.0	10.5	10.0	16.1	5.9	17.5084095	78.2723004	43.1
"ICRISAT"	28561.0	34.4	16.5	85.0	17.0	9.7	0.0	8.8	7.4	24.5	6.8	17.5084095	78.2723004	43.1
"ICRISAT"	28562.0	31.7	13.7	49.0	23.0	8.0	0.0	10.3	8.9	24.1	6.1	17.5084095	78.2723004	43.1
"ICRISAT"	28563.0	31.6	17.9	71.0	29.0	7.0	0.0	10.6	8.6	21.1	5.3	17.5084095	78.2723004	43.1
"ICRISAT"	28564.0	32.3	20.6	79.0	29.0	9.9	0.0	9.3	8.4	20.9	6.0	17.5084095	78.2723004	43.1
"ICRISAT"	28565.0	32.8	21.5	70.0	32.0	9.6	0.0	10.0	8.5	20.1	5.9	17.5084095	78.2723004	43.1
"ICRISAT"	28566.0	34.1	21.6	68.0	26.0	12.7	0.0	8.1	10.4	20.3	7.0	17.5084095	78.2723004	43.1
"ICRISAT"	28567.0	35.9	22.5	42.0	17.0	15.2	0.0	8.6	12.9	22.6	9.0	17.5084095	78.2723004	43.1
"ICRISAT"	28568.0	35.2	21.9	49.0	24.0	8.9	0.0	9.5	11.7	17.8	6.3	17.5084095	78.2723004	43.1
"ICRISAT"	28569.0	34.6	21.3	69.0	23.0	7.8	0.0	8.5	9.0	17.8	5.7	17.5084095	78.2723004	43.1
"ICRISAT"	28570.0	35.0	21.6	58.0	56.0	14.5	0.0	8.4	11.9	14.8	5.8	17.5084095	78.2723004	43.1
"ICRISAT"	28571.0	33.5	19.6	85.0	15.0	11.6	3.8	8.4	6.0	24.2	7.2	17.5084095	78.2723004	46.9
"ICRISAT"	28572.0	34.5	18.8	52.0	12.0	6.9	0.0	10.4	9.6	23.9	6.4	17.5084095	78.2723004	46.9
"ICRISAT"	28573.0	36.2	21.0	46.0	13.0	8.3	0.0	9.7	10.7	23.0	7.0	17.5084095	78.2723004	46.9
"ICRISAT"	28574.0	37.0	21.2	67.0	17.0	7.1	0.0	10.3	11.3	23.1	6.5	17.5084095	78.2723004	46.9
"ICRISAT"	28575.0	36.0	20.5	78.0	20.0	10.0	0.0	10.7	10.0	18.3	6.5	17.5084095	78.2723004	46.9
"ICRISAT"	28576.0	36.0	21.9	83.0	22.0	12.8	0.0	9.4	10.7	19.6	7.2	17.5084095	78.2723004	46.9
"ICRISAT"	28577.0	36.7	22.0	71.0	15.0	18.7	0.0	8.2	12.7	21.6	9.5	17.5084095	78.2723004	46.9
"ICRISAT"	28578.0	36.9	22.5	54.0	12.0	17.6	0.0	8.6	12.9	23.8	10.1	17.5084095	78.2723004	46.9
"ICRISAT"	28579.0	36.7	19.9	23.0	11.0	7.6	0.0	10.0	9.5	24.8	7.2	17.5084095	78.2723004	46.9
"ICRISAT"	28580.0	36.4	18.4	38.0	9.0	11.3	0.0	10.2	13.5	24.9	8.5	17.5084095	78.2723004	46.9
"ICRISAT"	28581.0	37.0	20.2	33.0	12.0	8.4	0.0	10.4	11.6	24.4	7.5	17.5084095	78.2723004	46.9
"ICRISAT"	28582.0	37.5	22.4	70.0	18.0	7.9	0.0	10.5	9.8	19.5	6.4	17.5084095	78.2723004	46.9
"ICRISAT"	28583.0	37.2	21.3	71.0	19.0	6.8	0.8	8.9	7.8	20.5	6.1	17.5084095	78.2723004	47.699999999999996
"ICRISAT"	28584.0	37.5	24.8	58.0	15.0	13.4	0.0	9.7	12.6	20.0	8.4	17.5084095	78.2723004	47.699999999999996
"ICRISAT"	28585.0	37.7	20.7	53.0	18.0	9.7	0.0	7.5	10.6	21.2	7.4	17.5084095	78.2723004	47.699999999999996
"ICRISAT"	28586.0	36.9	23.4	49.0	14.0	10.0	0.0	8.8	13.1	22.9	7.8	17.5084095	78.2723004	47.699999999999996
"ICRISAT"	28587.0	36.4	21.4	58.0	24.0	12.4	0.0	9.6	12.8	19.0	7.5	17.5084095	78.2723004	47.699999999999996
"ICRISAT"	28588.0	36.1	22.0	77.0	42.0	10.2	1.6	7.2	9.4	14.1	5.3	17.5084095	78.2723004	49.3
"ICRISAT"	28589.0	34.3	22.3	75.0	26.0	9.8	0.0	4.5	7.3	17.0	6.0	17.5084095	78.2723004	49.3
"ICRISAT"	28590.0	35.4	20.2	66.0	19.0	8.5	0.0	5.6	9.2	23.2	6.8	17.5084095	78.2723004	49.3
"ICRISAT"	28591.0	36.8	23.2	58.0	20.0	8.0	0.0	9.6	10.6	22.6	6.9	17.5084095	78.2723004	49.3
"ICRISAT"	28592.0	38.1	25.4	44.0	21.0	7.0	0.0	8.9	11.4	19.9	6.5	17.5084095	78.2723004	49.3
"ICRISAT"	28593.0	38.6	24.4	49.0	21.0	7.1	0.0	10.4	10.6	22.0	6.8	17.5084095	78.2723004	49.3
"ICRISAT"	28594.0	40.5	24.5	45.0	16.0	11.3	0.0	9.7	13.3	21.9	8.7	17.5084095	78.2723004	49.3
"ICRISAT"	28595.0	40.3	25.6	59.0	12.0	11.9	0.0	9.0	13.1	23.7	9.0	17.5084095	78.2723004	49.3
"ICRISAT"	28596.0	40.8	24.1	38.0	11.0	11.3	0.0	10.3	14.7	25.2	9.3	17.5084095	78.2723004	49.3
"ICRISAT"	28597.0	41.1	24.0	21.0	12.0	9.7	0.0	11.6	15.4	25.8	8.9	17.5084095	78.2723004	49.3
"ICRISAT"	28598.0	40.3	23.8	26.0	11.0	10.2	0.0	11.2	14.6	25.5	8.9	17.5084095	78.2723004	49.3
"ICRISAT"	28599.0	39.7	23.0	23.0	8.0	12.4	0.0	11.6	14.2	24.4	9.7	17.5084095	78.2723004	49.3
"ICRISAT"	28600.0	37.9	23.2	74.0	17.0	9.5	0.0	11.5	11.0	24.3	7.6	17.5084095	78.2723004	49.3
"ICRISAT"	28601.0	38.0	22.0	21.0	11.0	6.7	0.0	10.5	10.1	24.5	7.1	17.5084095	78.2723004	49.3
